Pathways	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
PWY-5505	2888.0928	873.5957	1377.7916	23530.6833	8616.7567	1497.2238	1014.3864	210.6574	10504.7377	9891.5392	20781.59	3108.2854	2613.9427	7031.7222	1276.0429	2273.0938	1608.1265	7696.9251	4073.1298	5420.7882	5976.0079	755.0871	749.3797	811.6416	814.4556	9941.2704	5110.451	885.3379	1378.4494	1389.6055	365.0642	1621.2464	1109.9841	7809.1646	766.7394	1192.7171	5681.0823	4513.078	3120.6295	328.9109	401.8569	126.7777	6648.6469	1444.0958	293.4957	305.1242	352.7169	171.6244	143.0565	2009.5381	4917.8355
PWY-5507	521.9254	213.0308	124.0613	4325.9092	42.8338	345.6073	400.6642	95.9626	3197.0091	191.9141	1333.2249	210.6966	826.3411	2770.612	754.954	282.7299	239.9533	811.8092	820.4757	654.3924	541.0572	328.7861	259.7522	489.7759	233.4997	43.4197	222.2847	508.9486	425.1048	194.0686	207.5417	392.58	370.1032	70.5128	378.2621	313.2753	0.0	482.1766	295.2456	256.9391	130.8444	29.3144	121.5666	1488.0064	112.893	123.5047	183.9018	75.3592	85.049	610.2345	510.618
PWY-5509	3777.9487	884.3424	1680.8679	22921.5177	18825.0093	1678.8711	1317.2532	230.9308	18879.1294	11452.3699	16760.049	2945.243	2528.6126	7049.6297	3364.6958	3770.0986	1069.2122	5934.7163	3967.8392	5744.7931	6328.9149	606.6793	734.8042	910.3268	823.4886	9036.6609	3642.4552	1868.3091	1671.023	1094.7975	598.8758	1104.5024	2819.491	9850.5192	589.2759	1485.4053	4895.5437	4745.4776	2114.5325	493.2038	264.7876	102.7842	5089.5887	2174.9833	186.7513	276.0788	392.5445	173.7557	202.1619	3523.1121	6275.2078
PWY-5519	0.0	0.0	0.6054	0.0	0.0	0.0	0.0	0.0	4.4211	0.4196	1.1938	0.0	0.8953	1.7489	0.1828	0.2353	0.0592	0.9906	0.8083	0.0	3.0718	0.0	0.0	0.1602	0.0	0.0	0.0	0.0892	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0	0.0	0.0	0.0	0.0067	0.0018	0.0	0.0001	0.0	0.0
PWY-5529	0.0	0.0	7.874	0.0	0.0	5.8352	0.0	11.103	13.6959	0.0	0.0	0.0	11.8456	0.2124	9.2787	0.0	6.2958	0.0	5.3923	151.3244	0.0	61.3874	0.0	18.9117	52.5836	0.0	0.0	4.3295	14.9072	1.4956	63.3973	62.0465	65.634	0.0	0.0	0.6188	0.0	0.0	0.0	24.6393	18.8457	7.2699	7.8317	117.3271	0.0012	0.0	0.1092	24.1083	4.36	56.3399	1.4206
PWY-5531	0.0	6.0395	9.0695	0.0	0.0	9.7941	9.5214	13.5797	25.2851	0.0	0.0	30.888	12.2504	5.1868	11.7588	0.0	8.6362	97.1628	21.4714	191.939	12.5429	87.9563	8.6876	22.2035	122.1469	5.5914	34.6197	37.8294	19.1298	7.5004	64.6572	74.9158	83.0607	74.393	6.7562	59.8372	403.851	8.0744	278.7938	37.2949	40.2721	10.6321	8.9831	246.4337	44.6025	22.3627	17.2288	28.8622	6.0342	67.6701	1.3712
PWY-5532	15.3365	0.0	0.0	5.4986	2.9659	0.6438	5.896	3.2324	35.103	9.3748	0.0	8.7128	16.2509	10.7727	19.316	8.482	0.6734	6.3562	22.1237	47.4654	6.8051	0.0	0.0	3.1129	2.5304	4.9833	22.8703	11.1716	7.7251	4.7658	0.353	26.9927	17.5742	137.299	0.1868	10.6038	14.5941	19.7753	0.4286	22.857	8.3612	0.0	3.688	11.2574	0.0	21.3576	0.0546	0.0	0.0	9.325	7.0355
PWY-5634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5647	2.4887	2.2821	2.8676	104.233	0.8794	0.4388	4.4797	8.0475	77.5422	2.6956	21.4924	0.0	21.0014	91.6229	15.1916	6.7763	6.5345	20.3963	18.4548	4.4685	5.8751	0.0002	1.8716	10.4932	19.1083	1.8295	8.7117	19.1866	7.6293	0.3814	67.2652	4.4455	5.3665	3.3651	12.105	6.0943	0.0	9.2148	4.1371	12.2557	6.4859	2.3759	0.3345	82.9789	2.1283	0.0003	2.3383	1.9604	3.2223	30.9481	6.9391
PWY-5651	23.8713	6.0312	14.7675	125.0428	1.1916	6.8045	7.5611	33.1111	86.8852	66.4216	29.6292	18.6459	28.3325	106.076	20.1271	10.2819	12.8567	31.7331	24.6631	46.8329	18.371	24.0762	13.5034	44.1168	20.8486	10.7453	20.8633	38.5008	15.2565	2.308	114.6666	38.0657	45.8787	0.1467	22.1004	26.8977	0.0	17.1188	6.2398	20.1479	11.4681	5.5566	10.9909	111.8626	13.933	8.8312	10.6432	5.8867	21.2926	41.8492	61.1708
PWY-5654	2.0841	2.2657	2.4968	142.5619	1.2476	0.364	5.0453	7.11	240.6844	2.1788	27.8181	0.0	25.8248	128.7	25.1803	7.7819	6.3591	23.8399	23.7736	3.7451	5.3784	0.0002	1.5916	9.2561	71.9047	1.5513	8.1034	18.47	7.6792	0.3308	69.0457	3.7322	4.4674	4.0396	13.4252	5.3693	0.0	9.4837	5.7398	13.99	6.5989	2.3811	0.2706	111.2217	1.8302	0.0002	2.0377	2.2547	2.7406	46.3455	5.7586
PWY-5655	5.6129	4.3581	5.666	149.9599	1.4686	0.9909	7.8542	14.8484	118.5848	6.2152	32.169	0.0	31.4988	127.9344	20.1056	9.5809	10.7916	30.9467	25.7618	9.9484	11.1442	0.0005	3.9805	20.3276	29.9559	3.7618	14.5354	30.9448	10.9626	0.8363	99.243	9.6621	11.4251	0.339	20.6362	12.3393	0.0	16.067	6.0402	17.6877	10.6406	3.9581	0.7799	82.569	4.471	0.0007	4.4177	3.8265	6.7732	47.2485	15.1335
PWY-5656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8423	11.7138	0.0	0.5831	0.0	0.0	1.7751	0.0	0.0	1.2903	0.3443	0.3155	1.3079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2452	0.0	0.0	0.2373	0.0	10.534	0.0	9.0128	3.6217	0.0	8.8145	1.0878	0.0189	4.8063	0.0	0.1292	0.0	0.0	0.1334	0.0484	0.0	0.2634	0.0	0.0
PWY-5659	9805.8793	2586.0418	13131.0616	26082.6157	22761.305	4976.7503	2659.2266	434.2966	30168.1075	8670.2771	22282.4843	6651.1448	6880.4517	13690.7429	4122.2431	8948.9695	874.2372	7008.0251	9298.5224	6456.1807	7349.4526	2579.7442	3469.1244	2477.5775	1236.3004	13284.7589	12112.6229	12330.3378	2057.7722	3846.3756	1449.5567	1321.6344	5210.7066	28690.1612	1349.081	2821.2794	8767.4081	5991.5733	2922.5977	2114.8647	3321.9615	1136.05	9768.2311	3971.4565	367.988	745.0505	989.2881	296.1861	436.2596	7076.3519	7541.1476
