Pathways	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
1CMET2-PWY	13036.4212	16500.3266	21228.3647	38254.6585	25469.7802	9766.8107	6559.6924	503.3177	37590.7994	15205.3707	37713.0713	8498.1914	9025.0757	20839.7356	7553.2289	21151.1458	12897.3456	17257.5729	22100.541	9387.8821	12267.5009	12812.5612	15865.9204	3654.6655	1227.1918	24006.0971	22694.6015	20944.8564	10915.6466	13032.5753	1554.0616	6326.066	11985.3341	29187.1543	9751.9726	6173.1875	10454.2799	10318.3945	16592.1822	12739.246	20867.8058	16234.4326	21432.6564	3832.0087	428.0844	1076.5884	1091.1604	331.6943	459.17	5918.1561	8314.0794
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	47.0758	25.4741	23.1272	148.1161	1.4661	21.4491	34.7705	74.5674	126.3134	4.3333	26.128	40.3459	42.6533	133.4081	74.4005	18.2673	17.1996	120.8316	63.7568	65.0266	44.2961	47.191	43.2672	92.3676	441.1499	9.3891	41.2787	119.0545	52.3287	23.4175	363.6228	145.5389	77.5266	80.2558	120.3778	52.8972	365.2856	28.7192	273.1563	87.3199	41.8153	52.1738	13.577	302.2101	103.1159	113.8791	27.4546	49.7184	47.2057	81.4629	30.2238
AEROBACTINSYN-PWY	0.0	1.0018	2.5175	3.2301	0.0265	4.4776	2.3779	0.2273	4.6675	0.3826	0.6245	1.2404	12.4686	6.4244	7.151	0.8834	1.4714	2.8784	3.3787	1.1373	0.0006	5.9801	1.8834	1.3453	6.9486	0.0	0.8603	4.5958	0.0	0.0	56.2198	3.9537	4.6764	0.3422	9.9277	3.0809	0.0	2.4769	7.2735	4.9255	2.6691	1.9854	0.2252	20.4407	0.0	0.0	0.0021	0.4184	0.0146	0.0	0.0
ALL-CHORISMATE-PWY	199.1719	264.023	1056.3265	5209.4396	3229.75	325.3208	260.8461	104.9516	3573.92	106.4681	781.7956	718.5502	874.2718	2256.7341	346.2865	933.4776	111.1367	1243.4862	702.467	1123.745	1250.8231	456.9367	411.8082	422.9381	522.7782	181.8416	750.4777	1369.6249	190.6538	141.5565	651.0712	713.2096	806.8278	572.1431	165.0868	479.1394	2176.6808	348.017	1332.5477	396.76	301.1238	138.1413	134.613	819.6627	176.9539	172.9074	177.355	72.626	82.0095	827.9884	193.2732
ANAEROFRUCAT-PWY	14775.6061	16096.0851	22350.1955	43826.0991	25119.1287	8874.115	6552.8781	575.028	40044.8663	18556.4099	39914.6078	8727.2999	9246.9512	21222.0307	8465.9698	22718.0243	6194.4946	18456.429	21708.2096	10949.4625	13948.9949	8611.1617	11408.0233	3859.0504	1388.3183	27616.4995	20111.7331	23519.942	8503.078	11529.3443	2227.7017	7814.0995	10836.1121	36631.6322	4236.5141	6540.5328	11547.2832	12470.9298	11510.6189	9705.3774	12661.0165	5915.5584	22518.1127	4062.5435	486.8813	1125.8851	1225.7386	353.8223	530.7411	7537.4057	10558.3037
ANAGLYCOLYSIS-PWY	16764.7334	20334.2827	24707.6601	44959.0117	30061.6587	11288.875	7907.0864	663.1429	44968.6509	19457.175	41662.8097	9824.0383	10669.8912	23988.1453	9103.9958	25261.2475	16722.1056	21239.5301	25383.6225	12082.4227	15311.7676	14414.851	17918.6429	4271.5754	1531.0981	30939.6531	25633.5502	25492.3834	12680.2233	14708.0022	2247.0903	10758.1302	13623.5566	37811.6481	11214.785	7725.8515	12259.9338	13910.0398	18850.2703	14770.5083	23328.1382	18465.7221	26101.8532	4533.2653	526.0635	1321.4557	1329.1157	429.1008	592.4203	9013.0474	10578.8935
ARG+POLYAMINE-SYN	3655.7312	1650.0453	4590.0757	16054.8047	11112.7324	2351.6596	1494.1074	217.2929	13409.2513	5555.8442	8508.7007	3341.6492	2715.7492	6303.4106	1976.9768	4839.1468	2022.2845	7048.6054	4990.3271	3972.4652	4393.5208	1651.5525	1670.1065	1035.4601	593.7491	7052.5013	5257.3988	4364.8874	1875.2257	2290.8326	855.8968	1535.9151	2952.6962	5530.4451	1137.3715	1745.4263	4626.0857	3644.4307	4200.9279	1032.258	840.5199	244.4029	4845.0566	1846.208	245.8347	365.5844	400.316	162.2761	203.9138	1733.9265	2985.3404
ARGDEG-PWY	0.0	19.6189	31.2857	18.5126	0.1038	19.553	48.4675	22.7146	123.1948	0.612	2.1469	115.3239	90.2846	35.9778	36.493	4.3102	16.9303	180.1016	92.1512	110.8178	84.118	66.6799	55.1749	55.2263	242.7366	18.4013	143.2339	125.1293	50.9027	14.1121	234.5204	164.7891	198.1117	159.5019	28.5907	51.8464	690.1539	39.4196	446.8665	57.2729	68.7717	34.9169	14.674	114.8371	79.9549	39.9168	33.4299	20.9956	22.3168	170.3712	46.8252
ARGORNPROST-PWY	3787.592	8496.5371	9408.3659	17465.8771	4252.052	4207.5225	2997.5835	237.6255	10873.6965	5174.7761	11877.6869	2849.4312	3316.0286	6165.7222	2147.1171	9503.3663	2052.888	7130.8431	5346.0739	3362.6452	3159.8083	2676.4774	3611.3847	1690.3541	456.3376	14735.9149	7743.7643	9437.2329	3165.1004	2709.6851	1476.7969	1383.3323	3565.471	6992.9697	2013.5919	3332.7164	3053.5375	3635.2454	3884.9701	5183.4709	401.4047	3591.4852	10632.457	1396.6209	200.0572	555.6838	408.0477	166.7275	190.4688	1338.5497	2279.2638
ARGSYN-PWY	6719.8928	2079.3568	7210.1623	34454.4671	17027.8178	4577.8379	1831.1489	385.3569	21401.3363	13229.6124	23479.1111	5096.6347	4415.7178	9704.9889	2781.1829	5852.6976	2902.1052	10125.6355	6608.9159	7052.5855	9059.6539	2370.4123	2641.2427	1637.4819	1096.0434	13268.3059	8326.3962	8457.8284	3770.4372	2902.5182	1601.362	2846.3534	4709.4323	10957.3091	3261.9679	2503.0276	5489.752	4618.5727	5632.999	1795.81	1364.0358	1193.4598	11095.6984	2716.0767	322.9921	651.3118	538.4568	277.9158	314.3902	2685.7959	4700.259
ARGSYNBSUB-PWY	6106.2935	1155.306	5610.2879	30686.5576	17410.9382	3931.5006	1330.9831	385.2386	20931.1902	11588.6303	18000.6031	4158.4115	3131.2717	6762.6843	2298.2316	4121.7948	1783.4712	7863.3212	4267.7018	6251.0539	7965.5958	1304.1808	1871.5811	1382.5216	1140.8106	8170.095	4787.2659	7672.9855	2774.8012	1479.2138	1723.487	2403.4082	3874.8053	10327.2373	2518.7314	1937.0827	4162.1906	3434.2259	3631.5308	1186.2229	936.7365	763.8419	5939.439	2755.1809	302.4133	645.1008	476.1382	269.6836	306.0076	2558.2985	4019.6224
ARO-PWY	14492.4641	14880.0878	22383.3875	47931.0429	28800.6561	10875.6615	6787.4757	554.6291	39734.6752	16900.5185	42213.9456	10083.0957	10422.0226	23542.192	8255.4899	21073.5059	11679.2525	19838.2346	24673.3709	11802.8782	14948.5189	13729.8036	16659.1514	4104.9628	1431.7261	29301.0855	25046.7336	19952.8999	11316.9556	14326.9087	1591.5199	4047.144	12736.8112	26529.1544	10509.9697	6473.3424	12467.2827	12263.535	18215.4844	12617.6542	22496.5642	16941.0005	23874.6798	4108.7316	491.9053	1172.3231	1202.4167	391.0197	550.1844	7434.6269	10761.0965
ASPASN-PWY	9127.6707	3004.5497	9074.455	36264.6154	20970.4806	3333.4685	2691.7852	384.2324	25762.5093	11269.2959	32568.6742	6206.5522	5828.5105	15702.4612	5385.4507	10974.5707	1887.3247	8115.2976	11607.7632	7235.7719	8559.1263	2606.2662	3518.6487	2145.0967	928.654	10838.2605	11720.8133	10855.5491	2921.7813	4405.0032	530.3253	2312.2952	4647.0858	26122.9185	1090.8667	2588.0213	8608.8554	8487.3134	3572.6337	1863.4457	3343.5399	296.3296	7202.9422	2687.4564	273.257	442.9113	923.7733	279.4301	371.0414	6153.6869	7425.4572
AST-PWY	1.6982	3.4838	2.9032	39.7855	0.3245	2.2327	8.6003	7.0348	28.7329	2.3141	7.7748	19.1611	43.1051	40.0456	14.1162	2.1351	6.4375	63.816	20.3453	43.6065	19.1073	27.4535	10.012	9.8945	106.0916	3.4838	25.7892	33.4825	15.0107	4.0645	304.841	80.5745	33.8362	53.0849	21.79	18.4149	288.3747	15.3455	209.0261	39.875	30.9787	7.4219	5.1844	64.3709	33.5356	12.4492	16.5839	11.8038	3.5325	32.5252	1.241
BENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	3213.3274	2133.9782	9862.9767	26927.6603	15044.336	986.3773	1496.9135	239.5259	20905.8988	1436.0972	18494.4372	5637.2946	6371.3165	16661.6136	4236.6969	8456.9787	186.1558	1833.5241	9112.1561	3398.9462	3567.2562	1893.9542	2416.8668	1203.795	876.1568	477.7192	1856.9658	10933.1045	1442.8795	3763.4382	977.3433	639.7306	2488.4844	4482.1661	463.9774	928.665	3937.8118	3568.4386	922.2888	1230.0627	3395.6662	227.7668	231.9404	712.6415	216.1697	228.8485	459.6308	180.0232	277.0105	4797.6856	5223.8051
BRANCHED-CHAIN-AA-SYN-PWY	12557.6466	17494.3772	22746.7938	51190.3387	28260.2111	10828.8035	7141.8456	669.4558	38973.5557	18285.5501	42930.5897	10012.2719	10162.4693	24775.0313	8175.8613	22866.7933	12450.234	20446.8089	25679.1842	11698.751	14978.5491	15075.1205	18128.6555	4045.3167	1663.8792	28215.3735	25154.8701	21814.2859	12314.9535	15418.4835	1803.3521	4606.5681	13755.3142	19247.9903	11639.6636	6650.839	12242.4435	11033.3426	19733.7179	14195.2571	24852.0083	18931.7664	24804.9094	3869.2703	553.1453	1278.2112	1087.6549	455.3358	523.3358	4980.9784	8910.6086
CALVIN-PWY	15015.99	15026.8967	22683.8505	49113.2735	33831.7012	8555.266	6493.1993	569.2005	46002.7935	19573.0561	44473.7088	10219.6699	10992.8377	24548.4564	8937.0178	22595.0131	5666.5038	18716.2093	21721.2722	11575.5808	14377.8467	8122.7618	10828.4589	4014.3463	1555.0071	28306.5254	19700.9104	23349.5628	8058.625	11144.521	2052.3681	5792.6662	10685.1597	40167.871	3958.0485	6410.9309	12935.513	12828.7517	10960.6959	9095.8855	11936.7769	5494.4556	22562.0283	4448.1645	497.149	1101.04	1308.7586	370.7035	562.3616	9935.1294	11787.4263
CATECHOL-ORTHO-CLEAVAGE-PWY	31.6638	10.9261	12.0679	297.7971	2.4097	34.5015	45.0857	48.0368	236.6724	3.7107	58.8286	28.989	72.7301	207.9012	61.1061	16.1793	12.6175	73.1521	53.2279	36.5335	43.8112	19.6013	27.5731	69.2897	259.4476	6.3744	15.47	53.3045	43.7721	11.2993	394.9313	82.9939	33.9163	11.9355	105.8744	34.4722	9.7445	23.8266	28.6706	73.9961	18.3422	30.825	8.1096	152.6633	48.2049	64.3048	11.1339	33.0986	30.2677	33.0247	76.8962
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1236	4.9755	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.1254	0.365	0.0465	0.0	0.0	0.0	0.0	3.25	6.9804	0.0	0.0	1.5366	0.0	0.0	0.0333	0.0	0.0	0.0	0.0	0.0	0.0	6.0379	1.0016	0.0475	1.2464	0.0	0.7116	0.0	0.0	0.0012	0.1266	0.0393	1.4231	0.0	3.2351
CENTFERM-PWY	386.381	171.2725	344.5919	505.819	975.0518	326.8652	272.9293	104.3443	2210.2523	363.9621	1418.2705	311.6794	634.8035	928.7902	679.8914	523.5834	38.7663	459.4348	482.5759	773.6192	425.7052	206.689	278.4493	484.2652	342.8376	106.4351	376.7681	1074.408	249.7045	139.8851	293.1083	166.8771	290.7638	2926.1957	153.4311	350.1201	1229.3057	396.1399	129.6449	279.5702	81.2242	52.5763	103.7381	767.4068	49.52	68.8727	158.29	91.7218	115.3979	896.1641	738.168
CHLOROPHYLL-SYN	0.0	6.182	6.6831	0.0	0.0	3.8205	9.5214	10.6612	21.163	0.0	0.0	30.888	10.0777	7.4116	7.305	0.0	6.924	92.9191	20.9387	124.2723	12.681	41.4374	8.6876	13.1148	114.0326	5.5914	35.2198	31.1551	12.2329	8.647	52.1828	48.2171	53.3777	74.7702	6.7911	49.8043	403.851	7.2999	279.0571	18.2975	36.6057	9.0325	6.6981	71.3562	44.6024	19.5055	17.5672	19.2173	5.3963	46.8959	0.9615
COA-PWY	15739.902	18471.4679	23237.5712	46838.3313	28464.2113	10754.4467	7310.0917	555.517	41371.1109	19075.8436	43874.0555	9748.1187	10189.6983	23517.1334	8555.6734	23351.7578	14598.6454	20605.0812	24274.5373	11501.7155	14568.5906	13353.3714	16677.7089	4189.6364	1262.3253	29611.6477	24920.4033	23518.7629	11762.9965	13775.2913	1788.0664	9598.466	12511.6308	34635.7083	10055.7902	6912.65	12514.7606	13425.1281	17466.1256	13339.5457	21523.9594	16802.9481	25324.7611	4197.8539	458.0944	1187.9168	1283.2282	355.2743	530.1534	8552.5488	11147.1801
COBALSYN-PWY	3888.5307	932.7519	1712.2339	23257.3501	19180.3455	1704.186	1357.541	246.9358	19050.5904	11700.4037	17079.645	3122.645	2561.5405	7126.953	3376.0638	3803.3087	1086.3791	6042.0334	4048.7912	5875.3852	6926.9121	628.5171	790.2782	943.8253	856.623	9195.5134	3746.1238	1908.8419	1717.9702	1121.7784	602.3291	1147.4484	2852.4462	10937.723	597.6603	1515.1042	5023.1842	4900.7677	2151.3108	506.4489	270.9714	105.9494	5190.496	2248.2304	192.5846	285.9983	433.9503	186.185	213.3091	3586.2873	6366.339
CODH-PWY	1092.7435	57.9196	108.7629	1463.1586	1840.7803	104.339	139.8079	16.2432	2178.2228	294.5886	632.5616	282.9631	244.4202	173.2031	186.5494	109.5954	12.3584	209.394	288.6049	770.2415	776.831	15.6637	79.0555	161.2266	22.823	240.3245	381.9886	158.9605	236.4223	81.6019	14.6093	119.8642	237.2502	3887.142	23.3933	78.8989	493.7438	1015.8488	86.2098	55.226	110.9402	19.5447	120.4352	79.534	13.3332	25.0761	33.551	31.9875	17.4767	638.0262	479.6643
COLANSYN-PWY	6685.5929	767.5817	3550.5388	10155.6094	17482.6639	1871.4488	1361.4272	273.098	18881.8828	4208.673	14515.9639	2639.7303	2549.8371	5800.481	3073.9243	4244.2774	234.1804	2199.1467	5384.4039	4150.8482	4049.3706	920.481	1647.8967	1122.9429	844.1398	3735.8868	6233.9979	4324.8945	1403.5623	870.7144	795.745	486.7287	1930.5347	19992.8349	441.5051	1110.5213	5842.2176	4004.5875	1200.0502	812.3768	594.044	181.6628	730.8616	2741.5469	234.5855	321.6617	683.7851	178.6349	277.7788	5742.8758	5849.5086
COMPLETE-ARO-PWY	14938.8861	15783.6599	23338.8657	50685.7127	29902.6617	11379.9976	7132.6511	580.0677	41742.8147	17768.0281	44523.8928	10538.6315	10793.9034	24778.7133	8543.4949	22122.972	12357.8058	20762.298	26045.8061	12375.5755	15695.1553	14573.111	17669.8488	4237.4146	1483.7103	30260.1842	26333.4772	21044.0902	11967.8878	15158.0569	1689.2746	4191.452	13426.5591	27477.8372	11163.6869	6748.8625	12977.4137	12700.7926	19287.5766	13377.911	23936.1413	18012.1987	24818.9801	4276.4456	512.6953	1218.5926	1243.452	409.8457	570.5541	7632.1275	11113.9286
CRNFORCAT-PWY	1.2633	4.4736	2.8724	6.4847	0.0536	1.2276	0.0198	0.0	4.4414	2.1714	1.2609	0.0791	1.2479	7.0435	26.7623	0.2355	3.4224	5.0336	2.1717	49.6957	19.8697	15.5806	11.7431	12.8276	17.5434	0.0	1.3097	22.7618	17.311	0.0	157.2321	4.7627	0.0	0.0395	15.1535	4.8112	0.0	7.8892	6.2757	23.8475	6.5107	0.7805	0.0	125.7598	0.0	7.3631	21.113	7.5129	0.1181	57.9225	7.1868
DAPLYSINESYN-PWY	8473.3459	5954.4502	16678.142	36142.8359	20542.9688	6810.0324	4091.6833	467.5462	33176.3534	13762.3658	31458.5462	8341.7092	8488.1311	18599.9976	4884.2841	14459.3743	4635.0168	14982.785	15240.46	8424.9141	11005.3508	5881.2374	6251.6955	3093.7913	1247.2582	21871.0446	14740.5214	14699.3893	3878.8308	7687.3239	1852.0216	6375.4329	7690.1994	15786.0551	3048.3465	4518.7137	8962.9153	7985.1813	8147.383	4481.9707	6701.4936	2474.9974	17553.995	3184.8268	391.7124	910.3574	928.9123	314.9752	429.2981	5303.4194	6455.3238
DENITRIFICATION-PWY	390.9976	105.0968	1031.3858	6853.1427	4769.0021	219.9476	149.9254	16.7421	6533.0224	232.2003	1027.9323	397.8009	486.06	1071.9406	234.123	823.5268	21.4539	401.0484	356.6014	611.3012	951.4293	61.6487	243.4656	258.4022	54.1781	273.0324	354.2668	1672.8507	54.5083	33.6431	194.854	24.6479	614.0827	449.031	13.2865	106.7034	551.6514	235.4373	32.7833	86.4954	31.038	35.106	46.0976	321.869	5.3113	21.7877	70.5412	9.6541	25.7985	507.0955	265.8886
DENOVOPURINE2-PWY	15486.6357	19609.2865	23526.9802	49441.7946	25580.7538	11454.4868	7733.2876	586.0229	42239.9677	19241.05	45348.6874	9991.3512	10204.8026	24536.111	8355.2669	24229.9071	13547.3289	20860.1003	26083.2791	11936.1255	15520.5553	15041.0693	18482.5919	4203.3321	1284.5345	30114.3326	25960.6068	24476.3691	12855.1106	15287.8336	2040.2602	7527.8683	13706.4402	21451.2897	11472.5715	7289.6055	12259.6989	13249.9198	19520.7138	14753.5091	24532.5375	18963.184	25916.722	3784.8666	504.5914	1252.1153	1196.1988	385.9642	524.8335	7064.1058	10138.1042
DHGLUCONATE-PYR-CAT-PWY	0.8178	0.0	0.0576	4.5411	0.0371	1.5138	0.0	0.0	12.9043	0.8923	1.3218	0.0	1.2099	10.7408	14.2798	0.1301	8.2751	59.0073	5.7403	0.4088	23.0086	5.0718	0.0	8.4984	1.9626	0.0	0.1669	38.0802	18.4933	0.0	170.2363	8.0752	0.6812	11.6578	15.0557	0.1744	4.2448	10.7529	23.7826	52.5864	9.0435	3.2606	12.078	1.051	0.0	0.0	1.2334	0.0013	0.0	0.8133	0.7041
DTDPRHAMSYN-PWY	11364.0643	2384.5829	11255.3706	24363.358	23889.6954	6360.4231	3080.2158	433.0069	33288.832	11973.4521	18810.3999	5092.1886	5550.8523	9633.1787	6656.7089	10002.2991	6878.317	11012.3586	7822.0201	7451.918	8489.9016	2262.7375	2979.2837	2660.9359	1386.9266	16666.6374	10881.1028	7560.6286	4026.3773	3222.6477	1165.1552	6514.357	7357.0477	28516.2176	1938.2328	3733.3025	7621.2776	8448.5849	4934.8432	2585.7492	1580.7946	1758.0218	13758.2516	3228.2734	358.315	867.3121	912.5469	279.4943	440.8148	5974.1078	8510.9618
ECASYN-PWY	10.6122	7.1009	80.951	5.1655	0.0496	4.4582	15.2537	14.3989	20.5475	0.2345	2.1499	46.3981	13.7989	10.7988	14.0262	20.9607	7.2665	113.3187	27.4129	86.0408	18.9753	42.6166	13.433	13.4603	158.6384	7.1056	42.1041	765.9376	14.5947	9.087	67.3931	125.2205	59.0737	109.7946	9.1644	43.7059	481.4626	12.9254	330.7997	39.9749	45.4392	16.808	6.7949	67.6414	53.8133	25.4182	23.4141	13.7995	6.4096	817.6429	2.9833
ENTBACSYN-PWY	2453.3638	1465.1929	9883.6543	9673.3436	4994.4254	4393.8897	1451.2643	101.8812	15389.9629	8106.484	5693.942	4306.0623	4282.3309	4190.4774	1549.1154	5164.5228	1085.2438	8350.7781	3144.7978	1773.2252	5611.9818	1967.2262	1509.9141	2130.1858	543.2751	14804.711	7813.1605	2335.2228	840.0974	2036.0372	347.2841	1355.5435	3818.363	946.2775	461.4595	1881.6504	3927.2898	2679.5469	3254.9864	1973.1892	227.1898	1736.4423	14266.4634	794.4193	181.508	590.4313	330.0169	38.0343	144.1608	264.2902	2641.9698
FAO-PWY	129.2652	112.4231	212.7616	1228.0859	541.6098	200.2398	140.863	206.2922	3386.6294	141.5405	815.2665	203.6818	434.5184	674.4139	356.4538	250.7199	87.3853	526.9877	246.2045	489.6798	282.236	279.4804	166.9836	260.8419	1039.4825	43.1457	183.5926	1538.1571	143.1469	70.3303	1609.6438	458.1454	417.0353	464.273	508.8539	256.3498	1003.2653	173.4485	818.2969	313.1146	188.9039	149.1333	54.0518	1116.9811	233.9506	253.1766	99.0493	161.3336	146.5648	461.7128	300.9274
FASYN-ELONG-PWY	6845.0686	7485.105	21059.1478	54033.0074	30469.6241	1942.55	3666.4515	500.4368	43569.913	9789.1222	43649.8884	10645.3737	11144.2584	29544.1151	5979.8615	19800.6401	1072.3573	6006.8751	21940.0548	6641.8796	7462.2674	6002.4439	6628.3897	2673.251	1511.5873	10384.7293	8874.8601	22386.7139	2381.1649	11081.1948	1952.0096	5840.6219	4788.4892	24775.5392	1679.024	2632.8968	10466.5234	7084.2626	1376.1477	3831.7164	9110.072	852.1703	2293.7877	3937.8365	404.8446	685.0028	1081.9738	365.8878	611.065	7313.9046	7307.5594
FASYN-INITIAL-PWY	4026.3671	5203.4316	18943.2934	43174.1251	25929.277	1288.1561	2642.8213	363.6234	37031.3723	1874.3782	33562.3084	9880.2777	10813.9605	26000.8886	4672.7296	16232.9	225.8218	2991.138	17451.0495	4713.0669	5273.6896	4221.8877	4591.4478	2194.1313	1210.7622	1347.2401	6140.4917	18712.6743	1567.6059	8579.1935	1181.7837	730.5787	3356.0424	16702.5286	679.5359	1837.2458	7970.8093	5152.6887	876.3433	2584.9301	6310.7709	539.5303	709.2909	1784.7322	296.0188	527.0713	867.4328	283.6818	513.584	4179.2872	5411.3955
FERMENTATION-PWY	12119.4977	7242.9922	19881.265	34890.8848	20218.0917	7784.4061	5098.5688	534.2861	36924.9966	12513.0264	35380.4817	8230.4849	8689.9679	21241.6373	6721.0314	17394.9521	3526.6553	14353.0242	18773.022	9020.301	11803.7653	6647.6809	8134.3149	3387.3604	1260.7425	20939.885	18589.9705	19544.4344	5850.689	8878.9445	1191.0694	5804.0958	8177.4159	24960.6987	4278.3748	4953.6492	10410.7043	9405.6616	8171.8621	5212.1226	7852.078	3139.0014	18699.3792	3074.4446	455.5419	1025.2006	1067.0694	346.6725	470.1517	7629.5148	7167.4616
FOLSYN-PWY	15603.4871	20024.2649	24983.7185	43622.962	26056.9567	11166.6197	7818.5187	567.5501	42336.8264	15733.028	43581.0481	9875.4813	10626.0585	25308.8976	9138.8158	25186.8482	13578.3392	20183.7812	26481.2349	11260.502	14792.4039	14959.6336	18575.478	4196.5068	1194.0342	28222.9568	26396.4808	25816.8378	12926.5787	15402.0447	1624.0441	5004.908	13676.9039	27850.4951	11286.3397	7169.9298	12545.6556	13383.1414	19359.6213	14886.9777	24532.3811	18860.0975	24665.1099	3794.2993	488.0263	1201.1715	1248.3446	365.382	533.0467	8411.8908	10745.4819
FUC-RHAMCAT-PWY	595.3703	260.71	1137.017	2551.8872	2408.9318	298.1831	294.6446	65.0682	2047.0297	895.6807	1901.1333	482.9097	644.5491	772.8974	363.6553	858.2819	136.1349	881.1552	886.304	832.6313	873.359	178.7959	392.1038	236.9562	180.8404	2230.8255	874.0254	1013.1807	162.4784	397.9232	192.084	312.4149	425.3773	1404.1822	229.7456	571.1792	608.1052	610.5439	488.145	277.7349	215.8692	96.3516	1000.4053	367.7658	51.2064	107.7763	83.6743	58.652	48.1226	508.7506	492.1379
FUCCAT-PWY	672.5027	821.6269	1011.61	6022.1349	3189.9372	896.9996	422.592	48.1549	4000.7875	1100.1952	3736.4113	623.9534	513.0313	928.8912	534.3421	941.0259	627.6352	710.9019	1382.2995	1662.9836	1305.6693	740.8815	971.7875	223.3398	219.0016	1382.8409	1376.9212	2223.8904	578.6503	771.4624	125.9895	215.4537	906.7479	1248.0303	657.2814	590.9013	777.9944	783.7692	944.1011	689.3872	1500.8528	900.1098	693.2183	488.8539	59.1081	132.1813	93.6396	54.7154	56.4682	881.1334	680.0704
GALACT-GLUCUROCAT-PWY	1013.4715	188.4596	520.1256	2154.8434	4327.8312	227.5942	318.1361	130.2915	1406.9199	776.2265	1142.9738	615.6835	616.6558	507.3426	462.7556	770.868	175.3197	617.2542	1044.1872	1057.3685	959.6772	189.498	312.4771	271.1615	370.3813	3607.721	756.9926	868.0114	109.7078	230.4526	452.634	439.1143	314.2875	6853.1048	250.3628	563.7261	1282.8611	740.3825	211.8168	196.2656	199.9478	56.3011	205.0812	343.0947	74.3623	82.4395	162.1369	91.7796	73.3932	1017.1525	812.6388
GALACTARDEG-PWY	57.4654	5.9806	7.0916	248.5733	107.0751	8.9261	5.4835	11.8836	472.9228	27.3439	34.2776	3.8355	37.9176	136.9291	19.9464	12.512	2.2535	44.7328	44.1726	40.2078	40.7281	14.0879	14.3314	34.6149	37.5005	13.9913	10.8455	60.3555	19.7386	5.1464	18.0652	64.1091	78.6118	17.8183	24.0348	19.9684	7.2978	28.1758	1.9741	44.9508	13.1461	1.4582	2.6039	81.2399	1.0592	14.2745	5.2275	17.4547	20.2026	28.5654	29.1581
GALACTUROCAT-PWY	1526.0215	251.1812	1020.5305	2493.6106	5178.4319	357.1038	453.2111	175.3848	4747.9927	869.1711	1243.9867	709.0644	721.9802	691.3842	762.4793	871.4532	208.8489	884.3583	1245.2385	1393.5295	1408.2461	281.1147	687.0525	393.3992	548.9341	3705.8715	962.2794	1463.7893	301.77	274.2088	428.1873	472.1253	476.86	9249.7453	327.1598	678.6719	1599.2709	1098.7631	460.5509	356.5683	505.2016	98.2231	243.6557	495.126	118.152	133.6424	223.8391	129.3039	143.1313	1485.3166	999.7134
GALLATE-DEGRADATION-I-PWY	38.1373	13.0978	9.9911	178.4146	16.4564	15.7247	15.6192	55.2529	224.1343	33.867	28.6442	6.6917	17.3389	120.3384	57.6305	13.4802	1.505	35.0273	34.2168	20.1674	31.3986	10.7544	27.5064	61.1232	237.0289	5.2461	8.1071	28.9927	34.5536	8.9823	71.0879	53.4832	27.247	6.8449	66.6183	25.6431	0.5582	3.6977	10.1786	54.2231	8.9881	33.5234	10.7551	56.7784	42.093	60.4695	7.2292	29.1925	28.0647	55.3339	41.7122
GALLATE-DEGRADATION-II-PWY	30.3015	11.8498	7.1136	303.0164	22.772	12.7467	9.1422	45.8296	127.8771	33.867	28.6442	20.4585	17.3389	120.3384	47.3295	13.4802	1.7251	35.0273	34.2168	20.1674	23.859	7.2006	23.0835	45.893	191.8194	4.9671	7.4106	21.7611	26.1193	5.5414	63.8316	43.972	24.6964	6.8449	57.2821	17.3535	3.8816	3.6977	8.9775	44.8598	8.9881	28.9846	9.8378	54.0776	33.174	49.9574	6.2731	25.3667	24.7577	44.4695	33.265
GLCMANNANAUT-PWY	9296.287	17942.2074	18001.1882	19763.1725	13390.1366	7906.695	6244.2534	369.5721	23884.3247	4957.1594	24965.6543	5559.5976	6509.3575	17144.6135	6211.981	19877.0162	11821.0857	10572.2584	20826.7892	6680.4439	8537.7192	12892.2922	16048.0503	2359.0689	605.5937	14734.8411	18342.8896	21153.1936	10496.1794	12783.6516	990.0094	2725.6795	10347.9053	15322.9022	9853.6885	5530.1006	6706.2058	9023.613	15408.5209	13098.3606	22200.436	16833.5382	13205.5496	2097.6008	289.765	773.5147	756.2992	260.8636	350.1101	5292.2185	4028.0873
