OTU_ID	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
dcba105f35d8ebc9e22269c7491ad3a7	35.0	12.0	13.0	4.0	0.0	7.0	12.0	18.0	0.0	0.0	0.0	53.0	7.0	4.0	21.0	13.0	32.0	17.0	13.0	58.0	27.0	52.0	26.0	43.0	22.0	33.0	40.0	11.0	22.0	5.0	78.0	57.0	94.0	0.0	44.0	46.0	0.0	24.0	10.0	12.0	31.0	4.0	13.0	38.0	26.0	19.0	19.0	4.0	49.0	48.0	99.0
d82be8c2ae92882b0555b4899f35d4de	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1299.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c15ba7772639f42c56f35e97e5e8d48a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0a21726cd4952a96635576553da67787	0.0	0.0	49.0	0.0	9.0	0.0	12.0	0.0	60.0	0.0	12.0	0.0	0.0	0.0	80.0	0.0	0.0	166.0	6.0	0.0	0.0	0.0	263.0	6.0	0.0	0.0	0.0	21.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	472.0	0.0
12695f12ae8b1210e9d3acf090b554e3	54.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	1142.0	0.0	35.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3bac14d2805bf995afe9d316a5777b1e	0.0	10.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	209.0	0.0	0.0	0.0	240.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	0.0	21.0	0.0	0.0	0.0	0.0	520.0	0.0	0.0	43.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e7e1373564db3d14aa3c8cb4371d2f41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	1130.0	0.0
e341d76ffa2250ed506c5fb284abdca6	0.0	0.0	3.0	122.0	60.0	0.0	6.0	0.0	0.0	160.0	0.0	81.0	23.0	34.0	14.0	16.0	7.0	0.0	42.0	60.0	0.0	0.0	0.0	0.0	0.0	169.0	26.0	0.0	0.0	32.0	0.0	18.0	8.0	104.0	0.0	0.0	12.0	12.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0
98bcf713cdab713b589f72f2ebcef570	185.0	0.0	0.0	0.0	0.0	4.0	37.0	0.0	0.0	16.0	16.0	0.0	0.0	4.0	16.0	0.0	0.0	0.0	0.0	131.0	49.0	0.0	21.0	62.0	0.0	0.0	0.0	74.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	68.0	90.0
3916a456bb0a3bfd02c15fd537ff5923	0.0	0.0	48.0	14.0	31.0	7.0	12.0	0.0	0.0	16.0	75.0	98.0	48.0	18.0	9.0	43.0	0.0	0.0	7.0	75.0	9.0	0.0	0.0	0.0	0.0	77.0	107.0	0.0	0.0	22.0	0.0	39.0	0.0	0.0	0.0	39.0	50.0	70.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	143.0
